price,total_surface,covered_surface,rooms,bathrooms,garages,bedrooms,toilettes,antiquity,zone
USD 780.000,693m²,330m²,5,3,,3,1,A estrenar,",  Las Glorietas, Nordelta"
,,,,,,,,,
USD 1.100.000,890m²,,5,2,,3,1,5,",  Altamira, Rincón de Milberg"
USD 265.000,130m²,105m²,5,2,1,3,1,40,",  Villa Ortuzar, Capital Federal"
USD 590.000,567m²,243m²,6,2,,3,1,A estrenar,",  Los Lagos, Nordelta"
,,,,,,,,,
,,,,,,,,,
USD 258.000,160m²,160m²,4,,1,3,1,55,",  Olivos, Vicente López"
USD 1.990.000,1034m²,621m²,7,8,,4,1,A estrenar,",  Lagos del Golf, Nordelta"
USD 2.150.000,600m²,600m²,9,3,,4,1,25,",  Olivos, Vicente López"
USD 890.000,1251m²,532m²,7,6,,4,1,6,",  El Golf, Nordelta"
USD 680.000,815m²,280m²,5,3,,4,1,A estrenar,",  Talar del Lago I, El Talar de Pacheco"
USD 472.000,299m²,263m²,,3,,4,,,",  Las Tipas, Nordelta"
,,,,,,,,,
USD 75.000,415m²,115m²,3,2,1,2,,40,",  Florencio Varela, Florencio Varela"
Consultar precio,1336m²,454m²,8,5,,5,1,A estrenar,",  El Golf, Nordelta"
USD 550.000,680m²,300m²,6,4,,4,1,10,",  Lomas de San Isidro, San Isidro"
USD 570.000,634m²,246m²,0,3,1,3,,3,",  Los Lagos, Nordelta"
USD 368.000,274m²,133m²,4,,1,2,1,5,",  Acassuso, San Isidro"
USD 520.000,542m²,186m²,5,2,,3,1,11,",  La Laguna, Nuevo Milberg"
,,,,,,,,,
USD 460.000,771m²,258m²,6,2,1,4,1,15,",  Las Glorietas, Nordelta"
,,,,,,,,,
USD 189.000,950m²,150m²,4,2,,3,,10,",  Villa Rosa, Pilar"
USD 1.280.000,350m²,300m²,9,4,,5,,100,",  Belgrano, Capital Federal"
,,,,,,,,,
,,,,,,,,,
USD 380.000,162m²,150m²,6,2,,3,1,10,",  Olivos, Vicente López"
USD 595.000,372m²,372m²,,4,1,3,,6,",  Palermo Soho, Palermo"
USD 365.000,235m²,196m²,5,3,1,3,1,A estrenar,",  Castaños, Nordelta"
USD 1.600.000,353m²,268m²,7,4,,4,1,80,",  Belgrano, Capital Federal"
USD 295.000,325m²,184m²,4,,1,3,1,60,",  Olivos, Vicente López"
USD 265.000,811m²,197m²,7,3,,3,1,4,",  San Matías, Escobar"
USD 590.000,625m²,240m²,,4,,3,,,",  Los Sauces, Nordelta"
USD 445.000,205m²,200m²,5,2,1,4,1,10,",  La Lucila, Vicente López"
USD 415.000,755m²,185m²,6,3,1,3,1,A estrenar,",  San Isidro Labrador, Villanueva"
Consultar precio,630m²,630m²,5,5,,3,1,120,",  Belgrano, Capital Federal"
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
USD 950.000,742m²,480m²,6,3,,3,1,32,",  Acassuso, San Isidro"
USD 700.000,420m²,320m²,10,4,1,7,1,75,",  Belgrano, Capital Federal"
